area,rating,price,pool,garden,outdoor,play_area,family,single,property_type_apartment,property_type_camp,property_type_chalet,property_type_farm,property_type_resort
148,10.0,500,1,0,0,0,0,0,1,0,0,0,0
148,10.0,500,1,0,0,0,0,0,0,0,1,0,0
148,10.0,500,1,0,1,0,0,0,0,0,1,0,0
148,10.0,500,0,1,1,0,0,0,0,0,1,0,0
450,9.5,450,1,0,1,0,0,0,0,0,1,0,0
450,9.5,650,1,0,1,0,0,0,0,0,1,0,0
265,10.0,1500,0,0,1,0,0,0,1,0,0,0,0
1500,9.7,1200,1,0,0,0,0,0,0,0,0,1,0
200,10.0,800,0,0,1,0,0,0,0,0,1,0,0
500,6.8,1700,1,0,1,0,0,0,0,0,1,0,0
1000,5.1,700,0,0,1,0,0,0,0,1,0,0,0
350,8.6,400,1,0,1,0,0,0,0,0,1,0,0
1000,8.5,599,0,0,0,0,0,0,0,1,0,0,0
1500,8.5,599,0,0,1,0,0,0,0,1,0,0,0
1000,8.5,599,0,0,1,0,0,0,0,1,0,0,0
300,8.6,650,1,0,1,0,1,0,0,0,1,0,0
400,8.1,1000,0,0,0,0,0,0,1,0,0,0,0
2000,9.9,900,0,0,1,0,0,0,0,1,0,0,0
300,8.6,400,0,0,1,0,0,0,0,0,1,0,0
1000,8.5,599,0,0,0,0,0,0,0,1,0,0,0
450,9.3,880,0,0,1,0,1,0,0,0,1,0,0
405,9.4,500,1,0,0,0,0,0,0,0,1,0,0
15000,8.3,468,0,0,1,0,0,0,0,1,0,0,0
250000,9.8,2500,0,0,0,1,0,0,0,0,1,0,0
1200,9.8,800,0,0,0,1,0,0,0,0,0,0,1
1200,9.8,800,0,0,0,1,0,0,0,0,1,0,0
1200,9.8,800,0,0,0,1,0,0,0,0,1,0,0
1200,9.8,800,0,0,0,1,0,0,0,0,1,0,0
1200,9.8,800,0,0,1,1,0,0,0,0,1,0,0
400,10.0,1445,0,0,1,0,0,0,0,0,1,0,0
900,9.7,450,0,0,1,0,0,0,0,1,0,0,0
350,7.6,500,1,0,0,0,0,0,1,0,0,0,0
200,10.0,1500,0,0,0,0,0,0,1,0,0,0,0
300,9.5,1170,1,0,0,0,0,0,0,0,1,0,0
350,7.4,350,0,0,1,1,1,0,0,0,1,0,0
550,7.7,450,0,0,1,0,1,0,0,0,1,0,0
1200,10.0,1850,0,0,1,0,0,0,0,0,0,1,0
7500,0.0,400,0,0,1,0,0,0,0,1,0,0,0
7000,0.0,2500,0,0,0,0,0,0,0,1,0,0,0
78,0.0,1500,0,0,0,0,0,0,1,0,0,0,0
3000,0.0,1500,0,0,1,0,0,0,0,1,0,0,0
250,0.0,750,0,1,0,1,0,0,0,0,1,0,0
20000,0.0,1000,0,0,1,0,1,0,0,1,0,0,0
2000,0.0,600,0,0,0,1,0,0,0,1,0,0,0
5000,0.0,500,0,0,1,0,0,0,0,1,0,0,0
1000,0.0,800,0,0,1,0,0,0,0,1,0,0,0
1000,0.0,800,0,0,1,0,0,0,0,1,0,0,0
250,0.0,650,0,0,0,0,0,0,1,0,0,0,0
10000,0.0,600,0,0,1,0,0,0,0,1,0,0,0
10000,0.0,600,0,0,0,0,0,0,0,1,0,0,0
10000,0.0,600,0,0,0,0,0,0,0,1,0,0,0
10000,0.0,1100,0,0,0,0,0,0,0,1,0,0,0
10000,0.0,1100,0,0,0,1,0,0,0,1,0,0,0
750,0.0,1020,0,0,0,0,0,0,0,0,1,0,0
260,8.8,400,0,0,1,0,1,0,0,0,1,0,0
800,8.6,800,0,0,1,1,1,0,0,0,1,0,0
250,8.7,612,0,1,1,0,0,0,0,0,1,0,0
300,7.1,400,1,0,1,0,0,0,0,0,1,0,0
3000,9.3,800,0,1,0,1,0,0,0,0,1,0,0
625,9.6,600,0,1,1,0,0,0,0,0,1,0,0
300,0.0,400,0,0,1,0,0,0,0,0,1,0,0
300,0.0,350,0,1,1,0,0,0,0,0,1,0,0
400,0.0,250,0,1,0,0,1,0,0,1,0,0,0
