property,city,area,category,rating,price
شاليه بمسبح وغرفة نوم , الرياض - حي المناخ, مساحة الوحدة 148 م2, مخصص لل عوائل و عزاب,10,500
شاليه بصالة مطلة على المسبح , الرياض - حي المناخ, مساحة الوحدة 148 م2, مخصص لل عوائل و عزاب,10,500
شاليه بجلسة خارجية على المسبح , الرياض - حي المناخ, مساحة الوحدة 148 م2, مخصص لل عوائل و عزاب,10,500
شاليه بمسطح اخضر وجلسة خارجية , الرياض - حي المناخ, مساحة الوحدة 148 م2, مخصص لل عوائل و عزاب,10,500
شاليه بجلسة تطل على مسبح داخلي , الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,9.5,450
شاليه بجلسة خارجية مطلة على المسبح , الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,9.5,650
شقة دور بغرفتين نوم وجلسة خارجية, الرياض - حي القيروان, مساحة الوحدة 265 م2, مخصص لل عوائل و عزاب,10,"1,500"
استراحة بصالة ومسبح , الرياض - حي الرمال, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,9.7,"1,200"
شاليه بجلسة خارجية وركن شواء, الرياض - حي بنبان, مساحة الوحدة 200 م2, مخصص لل عوائل و عزاب,10,800
شاليه بجلسة مطلة على المسبح , الرياض - حي القيروان, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,6.8,"1,700"
مخيم بجلسة عريش وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,5.1,700
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,8.6,400
مخيم ببيت شعر وبروجكتر , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,8.5,599
مخيم بجلسة خارجية وبيت شعر, الرياض - حي الثمامة, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,8.5,599
مخيم بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,8.5,599
شاليه بجلسه مطله على المسبح, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.6,650
شاليه بصالة جلوس وغرفة نوم , الرياض - حي السعادة, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,8.1,"1,000"
مخيم بجلسة خارجية وبيت شعر, الرياض - حي الثمامة, مساحة الوحدة 2000 م2, مخصص لل عوائل و عزاب,9.9,900
شاليه بصالة وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,8.6,400
مخيم ببروجكتر و بيت شعر , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,8.5,599
شاليه بركن شواء وصالة ومطبخ, الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل فقط,9.3,880
شاليه بمسبح ومجلس رئيسي , الرياض - حي عريض, مساحة الوحدة 405 م2, مخصص لل عوائل و عزاب,9.4,500
مخيم بركن شواء , الرياض - حي العاذرية, مساحة الوحدة 15000 م2, مخصص لل عوائل و عزاب,8.3,468
شاليه بملعب كرة قدم , المزاحمية - حي الخرارة, مساحة الوحدة 250000 م2, مخصص لل عوائل و عزاب,9.8,"2,500"
منتجع فندقي بألعاب أطفال, المزاحمية - حي الخرارة, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,9.8,800
شاليه بألعاب أطفال, المزاحمية - حي الخرارة, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,9.8,800
شاليه بألعاب أطفال, المزاحمية - حي الخرارة, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,9.8,800
شاليه بمساحة واسعة وألعاب أطفال, المزاحمية - حي الخرارة, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,9.8,800
شاليه بجلسة خارجية وألعاب أطفال, المزاحمية - حي الخرارة, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,9.8,800
شاليه بجلسة مطله على الحديقه , الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,10,"1,445"
مخيم بجلسة خارجية و جلسة عريش , الرياض - الدرعية, مساحة الوحدة 900 م2, مخصص لل عوائل و عزاب,9.7,450
شاليه بغرفة جلوس مطلة على مسبح , الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,7.6,500
شقة مودرن بغرفة نوم ودخول ذاتي, الرياض - حي المصيف, مساحة الوحدة 200 م2, مخصص لل عوائل و عزاب,10,"1,500"
شاليه بجناح فاخر مطل على المسبح, الرياض - حي العزيزية, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,9.5,"1,170"
شاليه بألعاب مائية وجلسة خارجية, الرياض - حي بنبان, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,7.4,350
شاليه بركن شواء  و جلسة خارجية , الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,7.7,450
استراحة بملحق خارجي, الرياض - حي الرمال, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,10,"1,850"
مخيم ببيت شعر وجلسة عريش, المزاحمية - السيباني, مساحة الوحدة 7500 م2, مخصص لل عوائل و عزاب,0,400
مخيم واسع ببيت شعر ملكي وبروجكتر, الرياض - حي العاذرية, مساحة الوحدة 7000 م2, مخصص لل عوائل و عزاب,0,"2,500"
شقة بإطلالة مميزة على الرياض, الرياض - حي الصحافة, مساحة الوحدة 78 م2, مخصص لل عوائل و عزاب,0,"1,500"
مخيم بجلسة عريش وبروجكتر , الرياض - حي الثمامة, مساحة الوحدة 3000 م2, مخصص لل عوائل و عزاب,0,"1,500"
شاليه بمسطح اخضر وألعاب أطفال , الرياض - حي الريان, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,0,750
مخيم ببيت شعر وجلسة خارجية , الرياض - حي الثمامة, مساحة الوحدة 20000 م2, مخصص لل عوائل فقط,0,"1,000"
